,Months since Last Donation,Number of Donations,Total Volume Donated (c.c.),Months since First Donation,Made Donation in March 2007
619,2,50,12500,98,1
664,0,13,3250,28,1
441,1,16,4000,35,1
160,2,20,5000,45,1
358,1,24,6000,77,0
335,4,4,1000,4,0
47,2,7,1750,14,1
164,1,12,3000,35,0
736,5,46,11500,98,1
436,0,3,750,4,0
460,2,10,2500,28,1
285,1,13,3250,47,0
499,2,6,1500,15,1
356,2,5,1250,11,1
40,2,14,3500,48,1
191,2,15,3750,49,1
638,2,6,1500,15,1
345,2,3,750,4,1
463,2,3,750,4,1
372,4,11,2750,28,0
8,2,6,1500,16,1
539,2,6,1500,16,1
734,4,14,3500,40,0
573,4,6,1500,14,0
482,4,8,2000,21,0
330,1,14,3500,58,0
222,4,10,2500,28,1
175,4,10,2500,28,1
606,2,16,4000,64,0
340,2,8,2000,28,1
298,2,12,3000,47,1
459,4,6,1500,16,1
92,4,7,1750,22,1
446,2,13,3250,53,1
336,2,5,1250,16,0
403,2,5,1250,16,1
286,2,5,1250,16,0
665,4,20,5000,69,1
134,4,9,2250,28,1
646,2,9,2250,36,0
391,2,2,500,2,0
471,2,2,500,2,0
377,2,2,500,2,0
712,2,11,2750,46,0
721,2,11,2750,46,1
654,2,6,1500,22,0
332,4,5,1250,14,1
740,4,19,4750,69,1
612,4,8,2000,26,1
502,2,7,1750,28,1
479,3,6,1500,21,0
444,2,8,2000,35,1
132,4,5,1250,16,1
507,3,16,4000,74,0
718,2,4,1000,14,1
214,0,2,500,4,0
146,4,7,1750,25,0
607,1,9,2250,51,0
591,2,4,1000,16,0
144,2,4,1000,16,0
652,4,17,4250,71,1
45,2,2,500,4,0
395,2,2,500,4,1
369,2,2,500,4,1
490,2,4,1000,16,1
66,2,2,500,4,0
448,2,2,500,4,0
380,2,4,1000,16,0
328,2,4,1000,16,0
485,2,4,1000,16,0
630,2,6,1500,28,1
5,2,6,1500,28,0
546,4,2,500,4,0
54,4,2,500,4,0
445,2,7,1750,35,1
510,4,2,500,4,1
311,4,2,500,4,0
476,4,2,500,4,0
474,12,11,2750,23,0
527,3,17,4250,86,0
506,4,9,2250,38,1
424,4,8,2000,34,1
155,4,9,2250,40,0
94,2,5,1250,26,0
719,6,17,4250,70,0
676,0,8,2000,59,0
271,2,3,750,14,0
274,2,10,2500,64,0
535,4,9,2250,46,0
653,4,5,1250,23,0
493,4,8,2000,40,1
279,2,12,3000,82,0
564,11,24,6000,64,0
656,2,7,1750,46,1
386,4,11,2750,61,0
182,1,7,1750,57,0
212,2,11,2750,79,1
667,2,3,750,16,1
308,4,5,1250,26,1
421,2,6,1500,41,1
172,2,5,1250,33,1
662,2,4,1000,26,0
284,2,5,1250,34,0
731,4,8,2000,46,1
544,4,8,2000,48,1
145,2,2,500,10,1
747,4,5,1250,28,0
168,2,2,500,10,0
35,2,11,2750,88,0
81,2,3,750,19,0
594,2,5,1250,37,0
3,9,5,1250,19,0
687,2,2,500,11,0
29,2,9,2250,74,0
151,4,3,750,16,0
213,4,3,750,16,0
135,4,2,500,9,1
472,6,3,750,14,0
51,2,2,500,11,0
705,2,2,500,11,1
651,2,2,500,11,0
556,2,7,1750,58,1
79,2,1,250,2,1
477,2,1,250,2,0
90,2,1,250,2,0
341,2,1,250,2,0
456,2,1,250,2,0
692,2,1,250,2,0
275,2,1,250,2,0
227,2,1,250,2,0
550,2,1,250,2,1
247,2,1,250,2,1
293,2,1,250,2,1
587,2,1,250,2,0
291,2,1,250,2,0
392,2,1,250,2,0
220,2,1,250,2,0
410,2,1,250,2,0
88,2,1,250,2,0
589,2,1,250,2,0
61,2,1,250,2,0
359,11,10,2500,35,0
671,11,4,1000,16,1
399,4,6,1500,41,1
631,2,3,750,22,0
432,4,4,1000,26,1
565,10,4,1000,16,0
618,2,4,1000,35,0
586,4,12,3000,88,0
59,13,8,2000,26,0
725,4,5,1250,34,0
367,4,5,1250,35,1
605,4,7,1750,52,0
296,4,7,1750,52,0
238,2,2,500,14,0
655,2,5,1250,47,1
314,9,8,2000,38,1
609,4,6,1500,47,0
113,9,9,2250,45,0
596,4,6,1500,52,0
242,4,7,1750,58,0
6,6,2,500,11,1
533,11,9,2250,38,0
19,2,2,500,16,0
434,2,7,1750,76,0
553,11,6,1500,27,0
517,11,3,750,14,0
239,4,1,250,4,0
689,4,1,250,4,0
562,4,1,250,4,0
111,4,1,250,4,1
580,4,1,250,4,0
379,4,1,250,4,0
684,4,1,250,4,0
252,4,1,250,4,0
415,4,1,250,4,1
282,4,1,250,4,0
746,4,3,750,24,0
217,4,1,250,4,0
150,4,1,250,4,0
540,4,1,250,4,0
709,10,8,2000,39,0
31,14,7,1750,26,0
615,8,10,2500,63,0
494,4,2,500,14,0
195,2,4,1000,43,0
717,8,9,2250,58,0
62,8,8,2000,52,1
649,11,22,5500,98,0
264,4,3,750,25,1
414,11,17,4250,79,1
706,9,2,500,11,0
693,4,5,1250,46,0
219,7,12,3000,86,0
555,11,2,500,11,0
452,11,2,500,11,0
519,2,6,1500,75,0
400,11,8,2000,41,1
70,11,3,750,16,1
669,12,13,3250,59,0
115,2,3,750,35,0
256,16,8,2000,28,0
269,11,7,1750,37,0
620,4,3,750,28,0
205,12,12,3000,58,0
578,4,4,1000,41,0
257,11,14,3500,73,1
498,4,5,1250,58,0
38,4,4,1000,43,1
268,3,2,500,23,0
707,11,8,2000,46,0
71,4,7,1750,82,0
702,13,4,1000,21,0
480,16,7,1750,28,0
11,7,2,500,16,0
215,4,5,1250,58,0
670,4,5,1250,58,0
120,4,4,1000,46,0
465,14,13,3250,57,0
385,4,3,750,34,0
457,14,18,4500,78,0
36,11,8,2000,48,0
76,14,16,4000,70,0
647,14,4,1000,22,1
44,14,5,1250,26,0
678,8,2,500,16,0
43,11,2,500,14,0
598,4,2,500,23,0
616,14,3,750,19,1
634,16,12,3000,50,0
727,11,4,1000,28,0
102,11,5,1250,35,0
304,2,4,1000,70,0
133,14,5,1250,28,0
567,14,2,500,14,0
362,14,2,500,14,0
114,14,2,500,14,0
575,14,6,1500,34,0
394,11,5,1250,37,1
549,4,5,1250,74,0
384,11,3,750,23,0
17,11,5,1250,38,0
121,12,9,2250,60,0
72,9,1,250,9,0
581,9,1,250,9,0
261,4,2,500,29,0
216,11,2,500,17,0
153,14,4,1000,26,0
626,11,9,2250,72,1
658,11,5,1250,41,0
458,9,5,1250,51,1
324,14,8,2000,50,1
253,16,7,1750,38,0
186,14,2,500,16,0
171,14,16,4000,98,0
260,14,4,1000,28,1
21,16,7,1750,39,0
32,14,7,1750,47,0
20,16,6,1500,35,1
413,11,3,750,28,0
128,11,1,250,11,1
142,9,3,750,34,0
185,14,4,1000,30,0
451,23,38,9500,98,0
469,11,1,250,11,0
77,11,1,250,11,0
159,11,1,250,11,0
152,11,1,250,11,0
551,11,1,250,11,0
584,11,2,500,21,0
488,11,5,1250,50,0
26,11,2,500,21,0
349,16,4,1000,28,0
723,14,3,750,26,0
735,9,2,500,26,0
572,14,6,1500,51,0
711,11,2,500,24,0
668,4,3,750,71,0
194,21,13,3250,57,0
201,11,6,1500,71,0
390,14,2,500,21,1
325,23,15,3750,57,0
326,14,4,1000,38,0
137,11,2,500,26,0
608,16,5,1250,40,1
318,4,2,500,51,1
714,14,4,1000,40,0
73,11,3,750,40,1
679,14,5,1250,50,0
25,14,1,250,14,0
18,14,1,250,14,0
225,14,1,250,14,0
122,14,1,250,14,0
708,14,1,250,14,0
428,14,7,1750,72,0
166,14,1,250,14,0
234,9,3,750,52,0
704,14,7,1750,73,0
716,11,4,1000,58,0
599,11,4,1000,59,0
206,4,2,500,59,0
713,11,4,1000,61,0
167,16,4,1000,40,0
315,16,10,2500,89,0
601,21,2,500,21,1
277,21,3,750,26,0
724,16,8,2000,76,0
648,21,3,750,26,1
37,18,2,500,23,0
193,23,5,1250,33,0
743,16,3,750,34,0
126,14,5,1250,64,0
354,14,3,750,41,0
438,16,1,250,16,0
184,16,1,250,16,0
236,16,1,250,16,0
15,16,1,250,16,0
163,16,1,250,16,0
347,16,1,250,16,0
412,16,4,1000,45,0
87,16,1,250,16,0
614,16,1,250,16,0
364,16,1,250,16,0
468,21,2,500,23,0
558,21,2,500,23,0
177,14,4,1000,57,0
593,16,5,1250,60,0
378,23,2,500,23,0
516,14,5,1250,74,0
265,23,3,750,28,0
543,16,3,750,40,0
52,9,2,500,52,0
266,9,2,500,52,0
505,16,7,1750,87,1
343,14,2,500,35,0
628,16,7,1750,93,0
327,21,2,500,25,0
481,14,3,750,52,0
522,18,8,2000,95,0
435,16,3,750,46,0
381,11,3,750,76,0
420,23,12,3000,86,0
42,21,3,750,35,0
78,23,2,500,26,0
538,23,2,500,26,0
180,23,3,750,33,0
210,23,2,500,28,0
27,21,1,250,21,0
251,21,1,250,21,0
208,21,1,250,21,0
660,21,1,250,21,0
518,21,1,250,21,0
602,21,1,250,21,0
339,21,1,250,21,0
431,21,1,250,21,0
525,21,1,250,21,1
116,21,1,250,21,0
302,21,1,250,21,0
69,21,5,1250,60,0
595,23,4,1000,45,0
333,21,4,1000,52,0
370,22,1,250,22,1
742,11,2,500,70,0
645,23,5,1250,58,0
604,23,3,750,40,0
739,23,3,750,41,0
112,14,3,750,83,0
292,21,2,500,35,0
281,26,5,1250,49,1
514,23,6,1500,70,0
117,23,1,250,23,0
388,23,1,250,23,0
554,23,1,250,23,0
110,23,1,250,23,0
588,23,1,250,23,0
576,23,1,250,23,0
141,23,1,250,23,0
475,23,4,1000,53,0
547,21,6,1500,86,0
305,21,3,750,64,0
560,16,2,500,70,0
287,21,3,750,70,0
295,23,4,1000,87,0
597,23,3,750,89,0
673,35,3,750,64,0
350,74,1,250,74,0
39,2,43,10750,86,1
677,6,22,5500,28,1
149,2,44,11000,98,0
732,2,11,2750,23,0
348,2,21,5250,52,1
190,4,4,1000,4,1
374,2,11,2750,26,0
104,2,11,2750,28,0
407,3,14,3500,35,0
408,4,6,1500,14,0
226,3,5,1250,12,1
157,4,33,8250,98,1
495,3,10,2500,33,1
280,4,10,2500,28,1
107,2,11,2750,40,1
641,2,11,2750,41,1
250,4,13,3250,39,1
258,1,10,2500,43,1
699,4,9,2250,28,0
322,2,5,1250,16,1
376,2,6,1500,22,1
366,4,5,1250,16,1
0,2,4,1000,14,1
124,2,4,1000,14,0
259,2,6,1500,26,0
470,4,5,1250,16,1
140,2,7,1750,32,1
489,2,6,1500,26,1
170,2,8,2000,38,1
542,2,2,500,4,1
355,2,6,1500,28,1
24,4,2,500,4,1
106,1,14,3500,95,0
255,2,3,750,11,0
737,2,12,3000,70,1
329,4,7,1750,32,1
398,4,4,1000,16,0
521,2,6,1500,35,1
531,2,3,750,14,0
99,2,4,1000,23,0
319,4,4,1000,18,0
661,5,6,1500,28,0
86,4,6,1500,30,0
313,14,5,1250,14,0
288,3,8,2000,50,0
229,4,9,2250,52,0
200,4,16,4000,98,1
53,2,9,2250,75,0
729,4,6,1500,35,0
331,4,9,2250,55,0
147,4,6,1500,35,1
203,2,6,1500,45,0
41,2,6,1500,47,0
89,4,2,500,9,0
165,2,2,500,11,1
383,4,6,1500,38,1
351,9,9,2250,38,0
108,11,5,1250,18,0
397,2,3,750,21,0
640,2,1,250,2,0
720,2,1,250,2,1
409,2,1,250,2,0
68,2,1,250,2,0
211,2,1,250,2,0
635,2,1,250,2,0
484,2,1,250,2,0
237,2,1,250,2,0
57,2,1,250,2,0
50,2,3,750,22,0
600,9,11,2750,49,1
310,3,5,1250,38,0
583,3,1,250,3,1
681,4,6,1500,43,0
503,2,3,750,24,0
270,12,11,2750,39,0
375,2,2,500,14,0
230,9,3,750,14,0
497,14,8,2000,26,0
188,4,2,500,13,0
7,4,11,2750,95,0
80,4,1,250,4,0
637,4,1,250,4,0
417,4,1,250,4,0
97,4,1,250,4,0
158,4,1,250,4,0
695,4,1,250,4,0
425,4,1,250,4,0
75,4,1,250,4,0
136,4,7,1750,62,0
603,4,4,1000,34,1
123,11,6,1500,28,0
422,13,3,750,14,1
273,9,9,2250,54,0
404,11,2,500,11,0
218,2,5,1250,63,0
561,7,11,2750,89,0
55,8,9,2250,64,0
486,2,2,500,22,0
443,11,16,4000,89,0
730,4,5,1250,58,0
437,14,7,1750,35,0
526,11,4,1000,27,0
371,7,9,2250,89,1
710,7,5,1250,52,0
243,11,6,1500,41,0
91,10,5,1250,38,0
672,14,2,500,14,1
666,14,2,500,14,0
10,14,2,500,14,0
342,2,2,500,33,0
682,11,3,750,23,0
629,14,8,2000,46,0
223,9,1,250,9,0
557,16,5,1250,27,0
46,14,4,1000,26,0
393,4,2,500,30,0
504,14,3,750,21,0
209,16,16,4000,77,0
442,4,2,500,31,0
312,14,8,2000,50,0
148,11,3,750,26,0
636,14,7,1750,45,0
559,15,5,1250,33,0
13,16,2,500,16,0
320,16,3,750,21,0
411,11,8,2000,72,0
625,11,1,250,11,0
592,11,1,250,11,0
552,11,1,250,11,1
675,2,3,750,75,1
700,2,3,750,77,0
363,16,4,1000,28,0
100,16,15,3750,87,0
642,16,14,3500,83,0
524,16,10,2500,62,0
639,16,3,750,23,0
125,14,3,750,26,0
22,23,19,4750,62,0
430,11,7,1750,75,0
418,20,14,3500,69,1
130,4,2,500,46,0
267,11,2,500,25,0
492,11,3,750,37,0
179,13,7,1750,76,0
566,16,6,1500,50,0
611,14,3,750,33,0
368,14,1,250,14,0
697,14,1,250,14,0
439,14,1,250,14,0
627,14,1,250,14,0
462,17,7,1750,58,1
95,14,3,750,35,0
621,16,7,1750,64,0
396,21,2,500,21,0
109,16,3,750,35,0
197,16,1,250,16,0
416,16,1,250,16,0
202,16,1,250,16,0
198,16,1,250,16,0
178,16,1,250,16,0
577,11,4,1000,74,0
118,21,6,1500,48,0
532,23,2,500,23,0
338,23,6,1500,45,0
365,14,2,500,35,1
173,16,4,1000,58,0
715,16,5,1250,71,0
2,21,2,500,26,0
387,21,3,750,35,0
738,23,8,2000,69,0
610,21,3,750,38,0
450,21,3,750,40,0
232,21,1,250,21,0
440,21,1,250,21,0
183,25,6,1500,50,0
60,21,1,250,21,0
58,21,1,250,21,0
49,23,3,750,39,0
674,21,2,500,33,0
204,14,3,750,79,0
361,23,1,250,23,1
30,23,1,250,23,0
337,23,1,250,23,0
496,23,1,250,23,0
169,23,1,250,23,0
698,23,1,250,23,0
433,16,3,750,86,0
360,21,2,500,52,0
541,39,1,250,39,0
74,72,1,250,72,0
